priority,name,address,lat,lng,cuisine,google_maps_link,rating,review_count,added
1,Lunchbook TepsiBorek,"Brussels, Belgium",50.8673899,4.4480194,Snack,"https://www.google.com/maps/search/Lunchbook+TepsiBorek+Brussels,+Belgium",,,
1,Kaaimook,Mechelsesteenweg 243,50.8629374,4.5159809,Thai,https://www.google.com/maps/search/Kaaimook+Mechelsesteenweg+243,,,
1,Formosa,Sint-Amandsplein 17,50.9102544,4.3552844,Asian,https://www.google.com/maps/search/Formosa+Sint-Amandsplein+17,,,
1,'T Bergsken Fiet,"Brussels, Belgium",50.8052025,4.283676,Regional,"https://www.google.com/maps/search/'T+Bergsken+Fiet+Brussels,+Belgium",,,
1,Enoteca da Valentino,"Brussels, Belgium",50.8386114,4.3646222,Italian,"https://www.google.com/maps/search/Enoteca+da+Valentino+Brussels,+Belgium",,,
1,Pizza Dino 21,"Brussels, Belgium",50.824688,4.5132691,Italian,"https://www.google.com/maps/search/Pizza+Dino+21+Brussels,+Belgium",,,
1,Gurman,Mechelsesteenweg 260,50.8636823,4.516127,Serbian,https://www.google.com/maps/search/Gurman+Mechelsesteenweg+260,,,
1,Pizzeria Picco Bello,"Brussels, Belgium",50.8078316,4.2325234,Italian,"https://www.google.com/maps/search/Pizzeria+Picco+Bello+Brussels,+Belgium",,,
1,Grote Muur,Brusselsesteenweg 60,50.8243036,4.5086964,Chinese,https://www.google.com/maps/search/Grote+Muur+Brusselsesteenweg+60,,,
1,Lotus Garden,"Brussels, Belgium",50.82307,4.5040651,Chinese,"https://www.google.com/maps/search/Lotus+Garden+Brussels,+Belgium",,,
1,Pizzeria Pinocchio,"Brussels, Belgium",50.8843918,4.4732062,Italian,"https://www.google.com/maps/search/Pizzeria+Pinocchio+Brussels,+Belgium",,,
1,Happy Valley,"Brussels, Belgium",50.8401302,4.4922465,Asian,"https://www.google.com/maps/search/Happy+Valley+Brussels,+Belgium",,,
1,China Express,"Brussels, Belgium",50.8220328,4.4044442,Chinese,"https://www.google.com/maps/search/China+Express+Brussels,+Belgium",,,
1,Pizza Fresca,"Brussels, Belgium",50.8314793,4.451531,Italian,"https://www.google.com/maps/search/Pizza+Fresca+Brussels,+Belgium",,,
1,La Barchetta,"Brussels, Belgium",50.8407679,4.4636076,Italian,"https://www.google.com/maps/search/La+Barchetta+Brussels,+Belgium",,,
1,De molen,"Melkstraat 100, 1830",50.9053757,4.4360752,Regional,"https://www.google.com/maps/search/De+molen+Melkstraat+100,+1830",,,
1,Adria Grill,"Brussels, Belgium",50.8884539,4.4706682,Grill,"https://www.google.com/maps/search/Adria+Grill+Brussels,+Belgium",,,
1,L'Auberg'In,"Brussels, Belgium",50.8331168,4.4481142,French,"https://www.google.com/maps/search/L'Auberg'In+Brussels,+Belgium",,,
1,Da Lino,"Brussels, Belgium",50.8864779,4.4706531,Italian,"https://www.google.com/maps/search/Da+Lino+Brussels,+Belgium",,,
1,Pizza Hut,"Brussels, Belgium",50.8142946,4.4267987,Italian,"https://www.google.com/maps/search/Pizza+Hut+Brussels,+Belgium",,,
1,Vinograd,"Kerkplein 30, 1930, Zaventem",50.8813682,4.4729627,Croatian,"https://www.google.com/maps/search/Vinograd+Kerkplein+30,+1930,+Zaventem",,,
1,Quick,"Brussels, Belgium",50.7795623,4.2997772,American,"https://www.google.com/maps/search/Quick+Brussels,+Belgium",,,
1,Ninja Restaurant,"Brussels, Belgium",50.8769681,4.3266331,Japanese,"https://www.google.com/maps/search/Ninja+Restaurant+Brussels,+Belgium",,,
1,Poppins,"Brussels, Belgium",50.8512228,4.397058,Italian,"https://www.google.com/maps/search/Poppins+Brussels,+Belgium",,,
1,La Ruota,"Brussels, Belgium",50.8521887,4.3865062,Italian,"https://www.google.com/maps/search/La+Ruota+Brussels,+Belgium",,,
1,Ying -Yang,"Brussels, Belgium",50.8290528,4.3906086,Chinese,"https://www.google.com/maps/search/Ying+-Yang+Brussels,+Belgium",,,
1,Pizza Merveillosa,"Brussels, Belgium",50.8530043,4.3878908,Italian,"https://www.google.com/maps/search/Pizza+Merveillosa+Brussels,+Belgium",,,
1,Pizzeria Al Doppio A,"Brussels, Belgium",50.8638613,4.3775011,Italian,"https://www.google.com/maps/search/Pizzeria+Al+Doppio+A+Brussels,+Belgium",,,
1,3 Fonteinen,"Herman Teirlinckplein 3, 1650, Beersel",50.7665744,4.3078789,Regional,"https://www.google.com/maps/search/3+Fonteinen+Herman+Teirlinckplein+3,+1650,+Beersel",,,
1,Little Italy,"Brussels, Belgium",50.8502187,4.4509829,Italian,"https://www.google.com/maps/search/Little+Italy+Brussels,+Belgium",,,
1,Snack du Noyer,"Brussels, Belgium",50.8492762,4.3892639,Fries,"https://www.google.com/maps/search/Snack+du+Noyer+Brussels,+Belgium",,,
1,TopoGigio,"Brussels, Belgium",50.8492301,4.389329,Italian,"https://www.google.com/maps/search/TopoGigio+Brussels,+Belgium",,,
1,Indian Royal Spicy,"Brussels, Belgium",50.8396427,4.3836187,Indian,"https://www.google.com/maps/search/Indian+Royal+Spicy+Brussels,+Belgium",,,
1,Pizzeria Di Fiore,Brusselsesteenweg 67,50.8245399,4.5087202,Italian,https://www.google.com/maps/search/Pizzeria+Di+Fiore+Brusselsesteenweg+67,,,
1,Il buongustaio,"Brussels, Belgium",50.8435928,4.3746855,Italian,"https://www.google.com/maps/search/Il+buongustaio+Brussels,+Belgium",,,
1,Hope House,"Brussels, Belgium",50.8364514,4.3653857,African,"https://www.google.com/maps/search/Hope+House+Brussels,+Belgium",,,
1,De Mayeur,"Brussels, Belgium",50.7783463,4.2851423,French,"https://www.google.com/maps/search/De+Mayeur+Brussels,+Belgium",,,
1,Thaimo,"Brussels, Belgium",50.8535925,4.3547176,Thai,"https://www.google.com/maps/search/Thaimo+Brussels,+Belgium",,,
1,Les Trétaux,"Brussels, Belgium",50.8361197,4.3056199,Regional,"https://www.google.com/maps/search/Les+Trétaux+Brussels,+Belgium",,,
1,Pasta Factory,"Brussels, Belgium",50.8592106,4.35494,Italian,"https://www.google.com/maps/search/Pasta+Factory+Brussels,+Belgium",,,
1,Be Bo Bun,"Brussels, Belgium",50.8400229,4.3680788,Asian,"https://www.google.com/maps/search/Be+Bo+Bun+Brussels,+Belgium",,,
1,Trattoria al dente,"Brussels, Belgium",50.839368,4.3672461,Italian,"https://www.google.com/maps/search/Trattoria+al+dente+Brussels,+Belgium",,,
1,Khun May,"Brussels, Belgium",50.8420705,4.3686351,Thai,"https://www.google.com/maps/search/Khun+May+Brussels,+Belgium",,,
1,Nanaban by Takumi,"Brussels, Belgium",50.8849194,4.4705501,Ramen,"https://www.google.com/maps/search/Nanaban+by+Takumi+Brussels,+Belgium",,,
1,Indian Mixed Grill,"Brussels, Belgium",50.8693525,4.3084166,Indian,"https://www.google.com/maps/search/Indian+Mixed+Grill+Brussels,+Belgium",,,
1,Wok House,"Brussels, Belgium",50.8672797,4.4465684,Asian,"https://www.google.com/maps/search/Wok+House+Brussels,+Belgium",,,
1,Maison d'Istrie,"Brussels, Belgium",50.8245392,4.3661905,Mediterranean,"https://www.google.com/maps/search/Maison+d'Istrie+Brussels,+Belgium",,,
1,Le Palais du Bengale,"Brussels, Belgium",50.8326316,4.3892542,Indian,"https://www.google.com/maps/search/Le+Palais+du+Bengale+Brussels,+Belgium",,,
1,Tom Yam,"Brussels, Belgium",50.8186309,4.3838984,Thai,"https://www.google.com/maps/search/Tom+Yam+Brussels,+Belgium",,,
1,Romeo e Giulietta,"Brussels, Belgium",50.8410083,4.4622533,Italian,"https://www.google.com/maps/search/Romeo+e+Giulietta+Brussels,+Belgium",,,
1,L'Harmony,"Brussels, Belgium",50.8408562,4.4633328,Regional,"https://www.google.com/maps/search/L'Harmony+Brussels,+Belgium",,,
1,Thai by Tom,Koningin Astridlaan - Avenue Reine Astrid,50.8456803,4.4670926,Thai,https://www.google.com/maps/search/Thai+by+Tom+Koningin+Astridlaan+-+Avenue+Reine+Astrid,,,
1,Thai Café,"Brussels, Belgium",50.8387823,4.4643012,Thai,"https://www.google.com/maps/search/Thai+Café+Brussels,+Belgium",,,
1,Sushi shop,"Brussels, Belgium",50.8394167,4.4642784,Japanese,"https://www.google.com/maps/search/Sushi+shop+Brussels,+Belgium",,,
1,Tenshi,"Brussels, Belgium",50.8391814,4.4646457,Japanese,"https://www.google.com/maps/search/Tenshi+Brussels,+Belgium",,,
1,La Belvédère,"Brussels, Belgium",50.8306647,4.4530926,Regional,"https://www.google.com/maps/search/La+Belvédère+Brussels,+Belgium",,,
1,De Foyer,"Brussels, Belgium",50.8619639,4.4639022,Regional,"https://www.google.com/maps/search/De+Foyer+Brussels,+Belgium",,,
