osm_id,name,address,lat,lng,cuisine,google_rating,google_review_count,google_place_id,notes
2365906497,Fraîche Attitude,"Brussels, Belgium",50.8406051,4.38503,Sandwich,,,,
2365906504,Paolo’s Idea,"Brussels, Belgium",50.8405603,4.3851354,Italian,,,,
2366068091,Taverne Le Pavillon,"Brussels, Belgium",50.8361264,4.3059161,Coffee_Shop,,,,
2366986798,Tekince Tantuni,"Brussels, Belgium",50.8641675,4.3669949,Kebab,,,,
2367109978,Michel,"Brussels, Belgium",50.8363971,4.3818639,Greek,,,,
2367109985,Mniam Mniam,"Brussels, Belgium",50.8373791,4.3964048,Italian,,,,
2367110088,O Profeta,"Brussels, Belgium",50.8364481,4.3821669,Portuguese,,,,
2367110090,450 Gradi,"Brussels, Belgium",50.8364175,4.3817949,Italian_Pizza,,,,
2367110091,Stirwen,"Brussels, Belgium",50.8363319,4.3819879,Restaurant,,,,
2368783717,Petit Palais,"Brussels, Belgium",50.8567841,4.372883,Restaurant,,,,
2369073753,Snack Araff,"Brussels, Belgium",50.8641928,4.365932,Restaurant,,,,
2369543556,Knossos,"Brussels, Belgium",50.8368816,4.3878363,Greek,,,,
2369543606,Poké Bar,"Brussels, Belgium",50.8367521,4.3826777,Restaurant,,,,
2369543632,Creppuccino,"Brussels, Belgium",50.8367672,4.3832213,Waffle,,,,
2369629414,Snack Salam,"Brussels, Belgium",50.8696933,4.3712446,Restaurant,,,,
2369757672,Tayba Family,"Brussels, Belgium",50.8706656,4.3719517,Restaurant,,,,
2371755292,Le Grand Salon,"Brussels, Belgium",50.766575,4.3076025,Restaurant,,,,
2371755308,3 Fonteinen,"Herman Teirlinckplein 3, 1650, Beersel",50.7665744,4.3078789,Regional,,,,
2372163557,Exki,"Brussels, Belgium",50.8609838,4.3592107,Healthy,,,,
2373367143,Snack Club,"Brussels, Belgium",50.8500735,4.4509378,Sandwich,,,,
2373367147,Snack Mina,"Brussels, Belgium",50.8501712,4.4509683,Kebab,,,,
2373367148,Little Italy,"Brussels, Belgium",50.8502187,4.4509829,Italian,,,,
2373516198,D'Ici & d'Ailleurs,"Brussels, Belgium",50.8500511,4.4534181,Restaurant,,,,
2375856379,Carpe Diem,"Brussels, Belgium",50.8389021,4.3986503,Restaurant,,,,
2375856394,Ellinikon,"Brussels, Belgium",50.8380965,4.3969123,Greek,,,,
2377642553,Brasserie Cochaux,"Brussels, Belgium",50.8675111,4.3868084,Restaurant,,,,
2377777928,Snack Miracle,"Brussels, Belgium",50.8307362,4.3904933,Restaurant,,,,
2380016072,La Pizza Bio,"Brussels, Belgium",50.8374072,4.4378521,Italian,,,,
2382075505,On mange quoi?,"Brussels, Belgium",50.8352451,4.3943258,Sandwich,,,,
2382490251,La Riviera,"Brussels, Belgium",50.8445241,4.384433,Italian,,,,
2383033179,El Quetzal,"Brussels, Belgium",50.8451019,4.3797186,Mexican,,,,
2383044819,Houchou,"Brussels, Belgium",50.8446756,4.3819468,Japanese,,,,
2385647061,Mazmiz,"Brussels, Belgium",50.8450441,4.3790756,Lebanese,,,,
2386415479,Ma crotte,"Brussels, Belgium",50.8582406,4.4204436,Regional,,,,
2391417276,Petite Miette,"Brussels, Belgium",50.8176863,4.3404794,Restaurant,,,,
2392012275,Doce Pimenta,"Brussels, Belgium",50.8186487,4.329069,Brazilian,,,,
2393949154,Le Romantic,"Brussels, Belgium",50.8732598,4.4014784,Bistro,,,,
2394706142,Puro,"Brussels, Belgium",50.8432303,4.3840963,Portuguese,,,,
2399129279,Penafidelis,"Brussels, Belgium",50.825016,4.3462281,Portuguese,,,,
2399138370,By grill,"Brussels, Belgium",50.8255387,4.3470829,Restaurant,,,,
2399140978,Belle lurette,"Brussels, Belgium",50.8252543,4.3441723,Restaurant,,,,
2402389388,Léopold Café Presse,"Brussels, Belgium",50.8376322,4.4048239,Bagel,,,,
2402389452,Poule & Poulette,"Brussels, Belgium",50.8394754,4.3998551,Chicken,,,,
2403700020,Snack du Noyer,"Brussels, Belgium",50.8492762,4.3892639,Fries,,,,
2403700022,TopoGigio,"Brussels, Belgium",50.8492301,4.389329,Italian,,,,
2403723652,Smyrna,"Brussels, Belgium",50.8493697,4.3836126,Restaurant,,,,
2414370933,François,"Brussels, Belgium",50.8510356,4.3481828,Fish,,,,
2414370935,Master Crab,"Brussels, Belgium",50.85144,4.3479042,Seafood,,,,
2414370936,Menma,"Brussels, Belgium",50.8518254,4.3476388,Japanese,,,,
2414370937,Le Quai,"Brussels, Belgium",50.8512949,4.3480042,Fish,,,,
2414370938,Le Vistro,"Brussels, Belgium",50.85133,4.34798,Fish,,,,
2414370939,Mussel Mongers,"Brussels, Belgium",50.8511776,4.3480849,Restaurant,,,,
2414370943,Gigi Korean BBQ,"Brussels, Belgium",50.8513704,4.3479522,Korean,,,,
2415955875,Oggi a Milano,"Brussels, Belgium",50.8375677,4.4044661,Restaurant,,,,
2420002444,Ventre Saint-Gris,"Brussels, Belgium",50.7922302,4.3520245,Regional,,,,
2420002480,Darwin,"Brussels, Belgium",50.7921193,4.3526735,Restaurant,,,,
2420204400,Africa,"Brussels, Belgium",50.8528035,4.3469652,Restaurant,,,,
2420204401,Bij den Boer,"Brussels, Belgium",50.8525259,4.3471564,Fish,,,,
2420204404,Gasterea,"Brussels, Belgium",50.853365,4.3465785,Ice_Cream,,,,
2420204405,Jacques,"Brussels, Belgium",50.8520688,4.3474712,Fish,,,,
2420204407,Le Consul,"Brussels, Belgium",50.8520184,4.3475059,Restaurant,,,,
2421757610,Le Saint Hubert,"Brussels, Belgium",50.8497369,4.3902097,Restaurant,,,,
2422528371,La Boussole,"Brussels, Belgium",50.8532828,4.3475568,French,,,,
2422528374,Pasta Bar,"Brussels, Belgium",50.8517211,4.3486323,Pasta,,,,
2422639573,Indian Royal Spicy,"Brussels, Belgium",50.8396427,4.3836187,Indian,,,,
2428693646,Friterie Chez le Grec,"Brussels, Belgium",50.8439419,4.3136082,Friture,,,,
2429394826,Pizzeria Di Fiore,Brusselsesteenweg 67,50.8245399,4.5087202,Italian,,,,
2430177136,Il buongustaio,"Brussels, Belgium",50.8435928,4.3746855,Italian,,,,
2435780467,La Galia,"Brussels, Belgium",50.8434426,4.3752631,Restaurant,,,,
2436568799,Exki,"Brussels, Belgium",50.842387,4.3847576,Restaurant,,,,
2436568806,Park Side Brasserie,"Brussels, Belgium",50.8421472,4.3859761,Restaurant,,,,
2436568810,Exki,"Brussels, Belgium",50.8455586,4.3697102,Healthy,,,,
2441937856,Snack Sympa,"Brussels, Belgium",50.8366077,4.3661654,Kebab,,,,
2443572645,Idea,"Brussels, Belgium",50.8387393,4.3707296,Greek,,,,
2443572659,LUX/BXL,"Brussels, Belgium",50.8388893,4.3708652,Restaurant,,,,
2450445541,Burger King,"Brussels, Belgium",50.8363383,4.3626552,American,,,,
2451973587,Tadaō,"Brussels, Belgium",50.8364634,4.3635455,Poke,,,,
2451973589,Knees to Chin,"Brussels, Belgium",50.8365554,4.3636588,Asian,,,,
2451989321,Moutarde,"Brussels, Belgium",50.8360778,4.3646446,Restaurant,,,,
2451989322,Little Tokyo,"Brussels, Belgium",50.8361978,4.3644354,Japanese,,,,
2451989324,Hana,"Brussels, Belgium",50.8363004,4.3642278,Japanese,,,,
2451989334,Winehouse Osteria – Le Delizie,"Brussels, Belgium",50.836297,4.3637509,Restaurant,,,,
2451989338,Mano à Mano,"Brussels, Belgium",50.8357931,4.3646611,Italian,,,,
2452112918,Hope House,"Brussels, Belgium",50.8364514,4.3653857,African,,,,
2452583805,L'Artigiano della farina,"Brussels, Belgium",50.8327238,4.3665415,Italian,,,,
2456248422,Volle Gas,"Brussels, Belgium",50.8333818,4.3670788,Brasserie,,,,
2459867484,Humus x Hortense,"Brussels, Belgium",50.829489,4.3703813,Restaurant,,,,
2459891513,Pizza 'n Shake,"Brussels, Belgium",50.8297807,4.3730695,Italian,,,,
2460607984,Quick,"Brussels, Belgium",50.8379367,4.3614054,American,,,,
2460607988,Hawaiian Poké Bowl,"Brussels, Belgium",50.8379007,4.3613156,International,,,,
2460607989,Hector Chicken,"Brussels, Belgium",50.837867,4.3612317,Chicken,,,,
2460607990,Brussels Grill,"Brussels, Belgium",50.8378331,4.3611472,Steak_House,,,,
2461604722,La Médina,"Brussels, Belgium",50.8328257,4.3753669,Moroccan,,,,
2462191324,Prego,"Brussels, Belgium",50.8283177,4.3717732,Italian,,,,
2463358678,Yakitori,"Brussels, Belgium",50.818401,4.3842393,Japanese,,,,
2463358679,Sumo Sushi,"Brussels, Belgium",50.8183553,4.3842656,Japanese,,,,
2463358776,SumSum,"Brussels, Belgium",50.8173437,4.3883273,Chinese,,,,
2466653916,Le Variétés,"Brussels, Belgium",50.8265995,4.373002,Brasserie,,,,
2466682759,Phopho,"Brussels, Belgium",50.823099,4.367099,Asian,,,,
2466932804,Le XIX ème,"Brussels, Belgium",50.8284439,4.3603968,Italian,,,,
2468798099,Issan,"Brussels, Belgium",50.8187212,4.3872804,Asian,,,,
2468879166,Be Burger Ixelles,"Brussels, Belgium",50.815884,4.3895707,American,,,,
2471008589,Kasbah D'Asie,"Brussels, Belgium",50.8340764,4.3066804,Restaurant,,,,
2471016204,Snackôpâtes,"Brussels, Belgium",50.8171241,4.3815077,Restaurant,,,,
2471872601,Émile Bistro,"Brussels, Belgium",50.8230655,4.3814492,Belgian,,,,
2473323774,De Ultieme Hallucinatie,"Brussels, Belgium",50.8574884,4.3676758,Regional,,,,
2476441233,Hanedan,"Brussels, Belgium",50.85708,4.369314,Turkish,,,,
2476581229,O'Syrie,"Brussels, Belgium",50.8553506,4.3680001,Arab,,,,
2476764620,Banh Mi Express,"Brussels, Belgium",50.8486819,4.3696191,Vietnamese,,,,
2476909622,Godjo bar,"Brussels, Belgium",50.8278433,4.3696353,Organic,,,,
2477930450,New Saigon Bangkok,"Brussels, Belgium",50.8485556,4.3758319,Restaurant,,,,
2477949062,Star of India,"Brussels, Belgium",50.8501814,4.3795788,Indian,,,,
2478526101,Aux Armes de Bruxelles,"Brussels, Belgium",50.8480861,4.3538956,Regional,,,,
2479516412,O'Tacos,"Brussels, Belgium",50.8167141,4.4267454,Tacos,,,,
2479542921,La Sœur du Patron,"Brussels, Belgium",50.8160258,4.430421,French,,,,
2482646702,Pommodoro,"Brussels, Belgium",50.8576188,4.359114,Italian,,,,
2482646705,Omega,"Brussels, Belgium",50.8577552,4.3591764,Restaurant,,,,
2483395638,Mio Mio,"Brussels, Belgium",50.8603199,4.3314096,Restaurant,,,,
