h3_index,mean_rating,mean_residual,total_reviews,mean_reviews,chain_share,mean_price,cuisine_diversity,restaurant_count,hub_score,cluster,cluster_label,hex_lat,hex_lng
881fa4418bfffff,4.206060606060606,0.00017704389725255526,27206,274.80808080808083,0.04040404040404041,1.9191919191919191,17,99,2.6802635827386796,3,Everyday,50.85378099432568,4.3638052441615685
881fa4418dfffff,4.369709543568464,-4.4989408289646564e-05,193705,803.7551867219917,0.02074688796680498,1.9170124481327802,29,241,6.863951367919617,3,Everyday,50.848378052126115,4.343403198475606
881fa44191fffff,4.4818181818181815,0.04678730532961046,4501,409.1818181818182,0.0,1.8181818181818181,5,11,-0.18524204122643984,1,Strong,50.85221683806023,4.387999917407588
881fa44193fffff,4.37,0.0037758207965795875,4085,408.5,0.0,1.8,6,10,-0.09369627788434205,1,Strong,50.851432772607154,4.400098365202404
881fa44195fffff,4.375,0.007102339719384221,15499,387.475,0.0,1.95,9,40,0.8114189195193836,1,Strong,50.846035470118494,4.379689003840157
881fa44197fffff,4.6000000000000005,0.04916277650884852,2491,355.85714285714283,0.0,1.8571428571428572,4,7,-0.4317414809152767,1,Strong,50.84525196052268,4.39178575562796
881fa44199fffff,4.414285714285714,0.029389075974866126,4061,580.1428571428571,0.0,2.0,3,7,-0.20682516260197306,1,Strong,50.85918074717762,4.384213408409375
881fa4419bfffff,4.366666666666666,0.021143834445382297,7197,599.75,0.0,2.0,5,12,0.1494261363228958,1,Strong,50.858397450794314,4.396312812271731
881fa4419dfffff,4.345544554455445,0.01043654855134806,18008,178.2970297029703,0.019801980198019802,1.9108910891089108,17,101,2.5463474672157793,3,Everyday,50.852999578545976,4.3759022100570935
881fa441a1fffff,4.394565217391304,0.00564126312004203,45465,247.0923913043478,0.005434782608695652,1.875,21,184,4.327696705185533,3,Everyday,50.82826736044599,4.342677226463808
881fa441a3fffff,4.269105691056911,0.008042937308667024,48412,393.5934959349593,0.008130081300813009,1.967479674796748,18,123,3.2696047391969083,3,Everyday,50.82748683985058,4.354768147330959
881fa441a5fffff,4.2375,-0.04406544113487104,3129,195.5625,0.0,1.9375,8,16,0.09545196824219555,1,Strong,50.82208242242923,4.33437593122306
881fa441a7fffff,4.471666666666667,0.007687023630955858,17150,285.8333333333333,0.0,1.9666666666666666,11,60,1.2487076355235303,1,Strong,50.82130245588151,4.346465155362333
881fa441a9fffff,4.190361445783132,-0.0002994506159913225,27803,334.9759036144578,0.07228915662650602,1.8313253012048192,15,83,2.2488825526162035,3,Everyday,50.835231296842984,4.338888627153705
881fa441abfffff,4.390178571428572,-0.005995506045494667,52761,471.08035714285717,0.017857142857142856,1.9642857142857142,22,112,3.6745554191557694,3,Everyday,50.83445154554639,4.350980501608187
881fa441adfffff,4.463636363636364,0.024952843255670973,1599,145.36363636363637,0.0,1.8181818181818181,5,11,-0.4838950310408503,1,Strong,50.829046557654905,4.330587049241434
881fa441b1fffff,4.357575757575758,-0.03400200807696203,4036,122.3030303030303,0.0,1.8181818181818181,7,33,0.05585852544995619,1,Strong,50.83288807154223,4.375166478802476
881fa441b3fffff,4.394117647058824,0.03739561398353404,6452,379.52941176470586,0.058823529411764705,1.8235294117647058,9,17,0.49235156795684276,1,Strong,50.832104348311724,4.387260579524126
881fa441b5fffff,4.4018292682926825,-0.0013348350571544035,90291,550.5548780487804,0.024390243902439025,1.9451219512195121,24,164,4.801948875536784,3,Everyday,50.82670499560694,4.366859810834446
881fa441b7fffff,4.443548387096774,-0.002425152970643571,22300,359.6774193548387,0.0,1.8225806451612903,13,62,1.5265679056565409,1,Strong,50.82592182745358,4.378952215965583
881fa441b9fffff,4.407692307692307,0.005826158683368537,11157,429.11538461538464,0.038461538461538464,1.9615384615384615,11,26,0.96005869713919,1,Strong,50.839853347449434,4.37138007121082
881fa441bbfffff,4.393478260869565,0.020607445901316454,39388,856.2608695652174,0.06521739130434782,2.0,13,46,2.0599597750262766,1,Strong,50.83907039334093,4.383475126947471
881fa441bdfffff,4.3309523809523816,-0.0018161889502153199,64692,513.4285714285714,0.031746031746031744,1.9444444444444444,24,126,4.213800852799651,3,Everyday,50.833670470533356,4.363073119160735
881fa441c1fffff,4.2727272727272725,-0.012737502295928849,3681,334.6363636363636,0.0,1.8181818181818181,5,11,-0.26731462010752943,1,Strong,50.862300684968346,4.335823212127394
881fa441c3fffff,4.392307692307693,-0.008527127062998194,7908,608.3076923076923,0.07692307692307693,1.9230769230769231,9,13,0.7316667701421143,1,Strong,50.86152268715865,4.347919646301968
881fa441c5fffff,4.2375,0.046313043078554494,1352,169.0,0.0,2.0,4,8,-0.45695236782595905,1,Strong,50.85611729604542,4.327518805305119
881fa441c7fffff,4.340350877192982,0.002952432923669182,19628,344.35087719298247,0.017543859649122806,1.8421052631578947,13,57,1.5004561054937573,1,Strong,50.855339852813486,4.3396135407759315
881fa441c9fffff,4.233333333333333,-0.12998987347801672,1701,567.0,0.0,2.0,3,3,-0.3676479804768978,1,Strong,50.86926054849276,4.332032212384899
881fa441cbfffff,4.288888888888889,0.01099810104234791,5795,643.8888888888889,0.0,1.8888888888888888,4,9,-0.033392235459628175,1,Strong,50.868483320053805,4.344129600821191
881fa441cdfffff,4.433333333333334,0.032982946489312624,1786,595.3333333333334,0.0,2.0,3,3,-0.25214535344453165,1,Strong,50.863077358789525,4.32372752289976
881fa441d1fffff,4.3,-0.0015629649504197856,7087,545.1538461538462,0.0,1.6923076923076923,6,13,0.04618840909156988,1,Strong,50.866924889957744,4.36832660988318
881fa441d3fffff,4.385714285714285,-0.003913827826907872,5436,388.2857142857143,0.0,1.8571428571428572,9,14,0.3529668636188658,1,Strong,50.86614368777668,4.380426228488122
881fa441d5fffff,4.252,-0.015865257309863042,8087,323.48,0.12,2.0,10,25,0.8713400319781723,1,Strong,50.8607433650982,4.360016824413881
881fa441d7fffff,4.318965517241379,-0.004428057432298633,18935,326.4655172413793,0.0,1.9137931034482758,8,58,0.871082718709311,1,Strong,50.859962718525104,4.372114745453157
881fa441d9fffff,4.5,0.023119446250579934,2070,1035.0,0.0,1.5,2,2,-0.24019328569038187,2,Elite,50.873886092745884,4.364537803201978
881fa441dbfffff,4.311111111111111,0.0538015942606096,3722,413.55555555555554,0.0,1.5555555555555556,6,9,-0.19709765863887274,2,Elite,50.87310565975933,4.376638377498616
881fa441ddfffff,4.175,-0.0022206479298031434,4252,531.5,0.0,1.75,2,8,-0.49429873375542416,1,Strong,50.867704767296175,4.356227733657347
881fa441e1fffff,4.328571428571428,-0.010781412341229122,4293,613.2857142857143,0.0,2.0,4,7,-0.05615577878753074,1,Strong,50.84297192342117,4.323007273771682
881fa441e3fffff,4.25,-0.013711313829826688,17120,570.6666666666666,0.0,1.7,12,30,1.1034520746190823,1,Strong,50.84219426497406,4.335099357287153
881fa441e5fffff,4.26875,0.007573890360343172,5870,366.875,0.0,1.9375,5,16,-0.06878662649760327,1,Strong,50.83678682933447,4.31470711157287
881fa441e7fffff,4.1875,-0.014429418246646342,2369,296.125,0.0,1.875,6,8,-0.1753845436088348,1,Strong,50.83600972468498,4.326797496805896
881fa441e9fffff,4.075,-0.018989956284018228,1630,407.5,0.0,1.75,4,4,-0.4247364160999832,1,Strong,50.8499331537652,4.319216379993955
881fa441ebfffff,4.309090909090909,0.05477712346139218,5815,528.6363636363636,0.09090909090909091,1.7272727272727273,6,11,0.2049211590656445,1,Strong,50.84915626474091,4.331309416719254
881fa441edfffff,4.2,-0.037758583919027235,1338,446.0,0.0,2.0,2,3,-0.546503942413587,1,Strong,50.84374825860794,4.3109159358333
881fa442a5fffff,4.3999999999999995,-0.002705887548639948,509,169.66666666666666,0.0,2.0,3,3,-0.7335103392019376,1,Strong,50.914080002421464,4.366004224945359
881fa442a7fffff,4.45,-0.0066114391857964305,789,197.25,0.0,2.0,2,4,-0.8303130125081727,1,Strong,50.91330153376416,4.378112022493984
881fa442b7fffff,3.9,-0.008254167815016977,1940,1940.0,0.0,2.0,1,1,1.000181368636709,0,Emerging,50.91791720497311,4.4106521009456925
881fa44301fffff,4.4,-0.04958414677331868,111,55.5,0.0,1.5,1,2,-1.463194236088999,2,Elite,50.90170741675799,4.244269991984082
881fa44307fffff,4.65,-0.03590767563498676,846,211.5,0.0,2.0,3,4,-0.7536149547046659,1,Strong,50.894756047034896,4.248069394400155
881fa4430bfffff,4.25,0.055325020753106635,362,181.0,0.0,2.0,2,2,-0.7858842894046455,1,Strong,50.90789237844026,4.252567576376895
881fa44317fffff,4.566666666666666,0.02954187304769995,262,87.33333333333333,0.0,2.0,3,3,-0.8334143937746851,1,Strong,50.899404821457985,4.28056236946881
881fa44319fffff,4.7,-0.016445243772179374,505,505.0,0.0,2.0,1,1,-0.7325931377434866,1,Strong,50.91330927211167,4.272967261328392
881fa44331fffff,3.65,-0.03049127079420999,218,109.0,0.0,2.0,2,2,-0.8009479439263002,1,Strong,50.88703595971458,4.263962928827171
881fa44333fffff,4.49,-0.039298621905524245,1497,149.7,0.0,1.9,4,10,-0.6295962717994682,1,Strong,50.88626688842779,4.276058484142324
881fa44335fffff,3.4166666666666665,0.0025605426234524367,2356,392.6666666666667,1.0,2.0,4,6,1.4779592874757528,0,Emerging,50.88085040013028,4.25566618360601
881fa44339fffff,4.1,-0.024868454275513763,372,372.0,0.0,2.0,1,1,-0.7527149998894715,1,Strong,50.89398906848013,4.260165149941337
881fa4433bfffff,3.85,0.13111514102639688,74,37.0,0.0,2.0,2,2,-0.7950673284874641,1,Strong,50.893220766983795,4.272261657327152
881fa44a13fffff,4.1,-0.16146888213554256,14,14.0,0.0,2.0,1,1,-1.2475708411241797,1,Strong,50.81358475667946,4.257361325563231
881fa44a15fffff,4.275,-0.0005865996299259102,621,155.25,0.0,2.0,3,4,-0.705161431415089,1,Strong,50.8081651812248,4.2369948166207
881fa44a19fffff,4.24,0.044786648695516094,556,111.2,0.0,2.0,3,5,-0.6943752962844644,1,Strong,50.82131560042071,4.241484832913281
881fa44a1bfffff,4.3,-0.035580164622336596,18,18.0,0.0,2.0,1,1,-1.1875913152913444,1,Strong,50.82054544112258,4.253567125998425
881fa44a3bfffff,4.45,0.07557271001388788,237,118.5,0.0,1.5,2,2,-1.1795487658429993,2,Elite,50.80120410029383,4.2407895736838075
881fa44a53fffff,4.3,-0.07154547806974332,667,667.0,0.0,2.0,1,1,-0.5137841092616594,1,Strong,50.828274546819195,4.2376890135504865
881fa44a5bfffff,4.25,0.013235474906210243,354,177.0,0.0,1.5,2,2,-1.121875433741383,2,Elite,50.83523252489854,4.233892523546738
881fa44a81fffff,3.8,0.19063027551889444,110,110.0,0.0,2.0,1,1,-0.8012910696996195,1,Strong,50.804300080242214,4.297400533445248
881fa44a83fffff,4.1,-0.09243445051567889,35,17.5,0.0,2.0,2,2,-1.046505999440831,1,Strong,50.80352309568454,4.309483921324623
881fa44a85fffff,4.333333333333333,-0.044280732535774435,968,161.33333333333334,0.16666666666666666,2.0,4,6,-0.32442161709069667,1,Strong,50.79811158312592,4.289108851657898
881fa44a87fffff,4.4,-0.2635960089600151,9,4.5,0.0,2.0,2,2,-1.2605316096558519,1,Strong,50.797335150806234,4.301190542099736
881fa44a89fffff,3.75,-0.09848746423230481,1410,352.5,0.25,2.0,3,4,-0.05994560729390046,0,Emerging,50.81126404176494,4.29360985474783
881fa44a8bfffff,4.2125,-0.01532686778797071,2186,273.25,0.0,2.25,4,8,-0.23800515267678146,1,Strong,50.810487826733656,4.305694193736792
881fa44a8dfffff,4.28,0.019041253227985895,10363,690.8666666666667,0.13333333333333333,1.8666666666666667,7,15,0.6970965168261385,1,Strong,50.80507574299575,4.28531789239733
881fa44a91fffff,4.185714285714285,-0.029221253041402915,2017,288.14285714285717,0.0,1.8571428571428572,4,7,-0.476677808356404,1,Strong,50.80893143000599,4.329865109571236
881fa44a93fffff,4.466666666666666,0.04111103862035037,4246,1415.3333333333333,0.0,2.0,2,3,0.5063181031266545,0,Emerging,50.80815124778534,4.341951684403768
881fa44a95fffff,4.025,-0.0863427694836022,426,106.5,0.0,2.0,4,4,-0.643275997401993,1,Strong,50.8027447890604,4.321568055029718
881fa44a97fffff,4.2631578947368425,-0.041925497009687854,7473,393.3157894736842,0.10526315789473684,2.0,11,19,0.9378235880667619,1,Strong,50.801965160107656,4.333652933554433
881fa44a99fffff,4.553846153846154,-0.021770692093170466,1932,148.6153846153846,0.07692307692307693,1.8461538461538463,8,13,0.015071621370770547,1,Strong,50.81589673197647,4.326076615526192
881fa44a9bfffff,4.488888888888889,-0.01932713337653423,6666,370.3333333333333,0.0,1.9444444444444444,6,18,0.028113753053540927,1,Strong,50.8151173191065,4.3381641428955655
881fa44a9dfffff,4.326086956521739,-0.016568742957614707,3738,162.52173913043478,0.0,1.826086956521739,10,23,0.35698859657330057,1,Strong,50.8097102895681,4.317779279013378
881fa44aa9fffff,4.3,-0.023635655189957916,59,59.0,0.0,2.0,1,1,-1.133830797084503,1,Strong,50.79192233586528,4.280819148014057
881fa44aabfffff,4.15,-0.017130681185646313,1102,137.75,0.0,1.875,5,8,-0.4685139071964857,1,Strong,50.791146455413696,4.292899140978449
881fa44ab1fffff,4.2,0.039623845458894635,645,645.0,0.0,1.0,1,1,-1.0253731428464343,2,Elite,50.789590730029445,4.317061366641096
881fa44ab3fffff,4.3500000000000005,0.04066734673269442,3197,532.8333333333334,0.0,1.8333333333333333,3,6,-0.3497755460420068,1,Strong,50.788810884572385,4.329143597329011
881fa44ab9fffff,3.875,-0.06822445106508845,4775,596.875,0.0,1.875,4,8,-0.08008355477340544,1,Strong,50.79655739675019,4.3132729789112005
881fa44abbfffff,4.41,-0.05904264868166727,898,89.8,0.0,2.0,5,10,-0.5050400920133349,1,Strong,50.79577832069554,4.325356161086726
